KO	Acinetobacter_sp	Alcanivorax_sp	Alteromonas_sp	Flavobacterium_sp	Marinobacter_sp	Oleibacter_sp	Polaribacter_sp	Pseudomonas_sp	Rhodococcus_sp	Thalassospira_sp
Acinetobacter_sp	-0.009711729416083564	1.6648892553817495e-07	6.440431297518472e-07	-0.00841727627750366	0.002817657834781252	7.779873198913434e-08	1.327714052737507e-06	0.006301857752396445	-6.397622845567029e-06	0.008959604007067176
Alcanivorax_sp	-0.0007472681413779308	-6.458205334520667e-07	2.088218016129607e-06	-0.0005903285427644178	2.3029681451266583e-05	7.53475207390736e-07	-1.0885888143919626e-05	0.0011752213821317747	6.161070195576909e-05	3.542083290627379e-05
Alteromonas_sp	0.0001884794825523419	-8.368070686221902e-08	-1.375544708965092e-06	6.020909756987436e-05	4.974624143873586e-06	4.629986847872199e-08	5.321282455368365e-06	-0.00037546102526642144	4.4454835973335334e-05	1.488970300179081e-05
Flavobacterium_sp	0.00017796913000428516	1.523247140428339e-06	3.900969039165295e-06	-4.433409565010398	4.228837591149745	1.9018206070793145e-06	0.745622315837703	-0.5568118974985918	-1.383951505363714e-05	8.628281989440717e-05
Marinobacter_sp	0.0002640854205158451	-6.458205334520667e-07	-6.385213241725484e-07	-4.433163360759608	-1.4672368386562909e-05	-5.773374369552985e-07	1.0449015744540892e-05	4.307085253271029	-4.124120191667352e-07	9.429674081466786e-06
Oleibacter_sp	-0.000730499160229969	8.527319075500192e-07	1.6513787650762644e-06	0.0022351359187240405	1.6305085871573884e-05	-5.773374369552985e-07	6.947581514335696e-05	-0.0017349372624625437	5.221511878755507e-05	3.309763433918343e-05
Polaribacter_sp	0.0001224323370273648	-2.0845614172200006e-07	-2.491094897231261e-07	0.004646093659498973	4.872717611925715e-06	-8.487382972813426e-08	-3.4989319032961426e-05	-0.004880920994139282	7.097482696101254e-05	1.5378557789048617e-05
Pseudomonas_sp	0.0002815989589572635	-6.458205334520667e-07	-1.375544708965092e-06	0.23102304360871528	0.2328475363114521	-5.773374369552985e-07	-2.0064992837558562e-05	-0.5568301444835676	0.08450846650223579	-1.5962951728029452e-05
Rhodococcus_sp	-0.0003270253476757648	8.18294931831727e-07	3.283672874418176e-06	-0.000556697883956403	1.7642743925127004e-05	9.56991764124381e-07	0.00015921575670823303	0.0006289429352779319	-2.9027301550958413e-05	5.320065570986479e-05
Thalassospira_sp	-0.0007152339489922711	-6.458205334520667e-07	-2.678593024148096e-07	0.00011824722053166425	-6.567144392895039e-06	-3.810048661310489e-07	-1.900857817991283e-05	0.0005965661402195233	-5.435671552652457e-06	-1.5962951728029452e-05
